Alder	ALD(27)
Crab Apple	APP(19)
Common Ash	CSH(25)
Silver Birch	SCH(18)
Downy Birch	DCH(18)
European Beech	ECH(18)
Box	BOX(26)
Wild Cherry	WHY(17)
Bird Cherry	BHY(17)
Blackthorn	BLA(43)
Wych Elm	WYC(18)
Smooth-leaved Elm	SVM(18)
Common Hawthorn	CWH(17)
Midland Hawthorn	MWH(17)
Common Hazel	CZL(19)
European Hornbeam	EBM(19)
European Holly	ELY(25)
Common Juniper	CNP(26)
Small-leaved Lime	SVM(18)
Large-leaved Lime	LVM(18)
Field Maple	FPL(26)
Pedunculate Oak	OAK(34)
Sessile Oak	OAK(34)
Scots Pine	SCO(31)
Aspen	ASP(26)
Black Poplar	BPR(26)
European Rowan	EWN(25)
Common Whitebeam	CHB(18)
Service Tree	SER(53)
Wild Service Tree	WVC(18)
Strawberry Tree	STR(33)
Bay Willow	BLW(25)
Crack Willow	CLW(25)
White Willow	WLW(25)
Almond-leaved Willow	AVW(17)
European Yew	EUR(38)
Alder Buckthorn	AKH(16)
Purging Buckthorn	PKH(16)
Elder	ELD(27)
Common Dogwood	CGW(19)
Rock Whitebeam	RHM(18)
Sea-buckthorn	SKH(16)
Spindle	SPI(36)
Sallow	SAL(43)
Grey Willow	GLW(25)
Purple Willow	PLW(25)
Common Osier	COM(31)
Eared Willow	ELW(25)
Guelder Rose	GOS(38)
Wayfaring tree	WAY(35)
Common Privet	CRV(25)
Plot's Elm	ELM(26)
